,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,4,0,0,0,,,0.0,5,20,discount,12250
1,7,1,0,0,1.0,,0.0,0,0,informational,12250
2,0,1,0,0,1.0,,0.0,10,10,bogo,12250
0,5,1,0,0,1.0,,0.0,3,7,discount,13179
1,1,1,0,0,1.0,,0.0,10,10,bogo,13179
2,7,1,0,0,1.0,,0.0,0,0,informational,13179
3,6,1,0,7,1.0,,0.0,2,10,discount,13179
0,4,1,0,0,1.0,,0.0,5,20,discount,9512
1,5,1,0,0,1.0,,0.0,3,7,discount,9512
2,9,0,0,0,,,0.0,2,10,discount,9512
3,1,1,0,0,1.0,,0.0,10,10,bogo,9512
4,0,1,0,0,1.0,,0.0,10,10,bogo,9512
0,5,1,0,0,1.0,,0.0,3,7,discount,13427
1,9,0,0,0,,,0.0,2,10,discount,13427
2,2,0,0,0,,,0.0,0,0,informational,13427
3,3,0,1,0,,0.0,5.0,5,5,bogo,13427
4,0,1,0,0,1.0,,0.0,10,10,bogo,13427
5,8,1,0,0,1.0,,0.0,5,5,bogo,13427
0,4,0,0,0,,,0.0,5,20,discount,9578
1,2,1,0,0,0.0,,0.0,0,0,informational,9578
2,7,1,0,1,1.0,,0.0,0,0,informational,9578
3,6,1,1,16,1.0,1.0,2.0,2,10,discount,9578
0,4,0,1,0,,0.0,5.0,5,20,discount,12889
1,7,1,0,0,1.0,,0.0,0,0,informational,12889
2,0,1,1,62,1.0,1.0,10.0,10,10,bogo,12889
3,8,1,1,27,1.0,1.0,5.0,5,5,bogo,12889
0,4,1,0,0,1.0,,0.0,5,20,discount,9502
1,5,1,1,21,1.0,1.0,3.0,3,7,discount,9502
2,3,1,0,0,1.0,,0.0,5,5,bogo,9502
3,8,1,0,1,1.0,,0.0,5,5,bogo,9502
4,6,1,0,10,1.0,,0.0,2,10,discount,9502
0,2,1,0,67,1.0,,0.0,0,0,informational,13295
1,7,1,0,0,0.0,,0.0,0,0,informational,13295
2,6,1,1,134,1.0,0.0,2.0,2,10,discount,13295
0,4,0,0,0,,,0.0,5,20,discount,11407
1,5,1,1,29,1.0,0.0,3.0,3,7,discount,11407
2,9,0,0,0,,,0.0,2,10,discount,11407
3,2,0,0,0,,,0.0,0,0,informational,11407
0,5,1,1,28,1.0,1.0,3.0,3,7,discount,12323
1,9,0,1,0,,0.0,2.0,2,10,discount,12323
2,1,1,0,0,1.0,,0.0,10,10,bogo,12323
3,0,1,0,0,1.0,,0.0,10,10,bogo,12323
4,6,1,1,28,1.0,0.0,2.0,2,10,discount,12323
0,5,1,1,31,1.0,1.0,3.0,3,7,discount,12470
1,2,1,0,45,1.0,,0.0,0,0,informational,12470
2,7,1,0,31,1.0,,0.0,0,0,informational,12470
3,0,1,0,0,1.0,,0.0,10,10,bogo,12470
0,9,1,1,15,1.0,1.0,2.0,2,10,discount,10207
1,2,1,0,0,1.0,,0.0,0,0,informational,10207
2,3,1,0,0,1.0,,0.0,5,5,bogo,10207
0,9,0,0,0,,,0.0,2,10,discount,13130
1,7,1,0,0,1.0,,0.0,0,0,informational,13130
2,8,1,0,2,1.0,,0.0,5,5,bogo,13130
0,5,1,1,38,1.0,0.0,3.0,3,7,discount,16444
1,3,1,1,21,1.0,0.0,5.0,5,5,bogo,16444
2,6,0,1,0,,0.0,2.0,2,10,discount,16444
0,4,0,1,0,,0.0,5.0,5,20,discount,11228
1,1,1,0,9,1.0,,0.0,10,10,bogo,11228
2,7,1,0,3,1.0,,0.0,0,0,informational,11228
3,0,1,0,11,1.0,,0.0,10,10,bogo,11228
0,5,1,1,29,1.0,1.0,3.0,3,7,discount,13270
1,9,1,1,55,1.0,1.0,2.0,2,10,discount,13270
2,7,1,0,0,0.0,,0.0,0,0,informational,13270
3,3,1,1,55,1.0,1.0,5.0,5,5,bogo,13270
4,0,1,1,19,1.0,1.0,10.0,10,10,bogo,13270
0,4,0,1,0,,0.0,5.0,5,20,discount,13769
1,5,1,1,165,1.0,0.5,6.0,3,7,discount,13769
2,7,1,0,79,1.0,,0.0,0,0,informational,13769
0,2,0,0,0,,,0.0,0,0,informational,10998
1,7,1,0,0,1.0,,0.0,0,0,informational,10998
2,6,1,0,0,1.0,,0.0,2,10,discount,10998
0,5,1,1,24,1.0,1.0,3.0,3,7,discount,11796
1,1,1,1,19,1.0,0.0,10.0,10,10,bogo,11796
2,7,1,0,19,1.0,,0.0,0,0,informational,11796
3,3,1,1,24,1.0,1.0,5.0,5,5,bogo,11796
4,8,1,1,28,1.0,1.0,5.0,5,5,bogo,11796
0,5,1,0,5,1.0,,0.0,3,7,discount,9929
1,1,0,0,0,,,0.0,10,10,bogo,9929
2,7,1,0,1,1.0,,0.0,0,0,informational,9929
3,0,1,0,6,1.0,,0.0,10,10,bogo,9929
4,8,1,0,5,1.0,,0.0,5,5,bogo,9929
0,5,1,0,4,1.0,,0.0,3,7,discount,11829
1,2,1,0,0,1.0,,0.0,0,0,informational,11829
2,1,1,0,1,1.0,,0.0,10,10,bogo,11829
3,8,1,0,1,1.0,,0.0,5,5,bogo,11829
4,6,1,0,4,1.0,,0.0,2,10,discount,11829
0,1,1,0,0,1.0,,0.0,10,10,bogo,12572
1,3,1,0,4,1.0,,0.0,5,5,bogo,12572
2,0,1,0,11,1.0,,0.0,10,10,bogo,12572
0,5,1,1,38,1.0,1.0,3.0,3,7,discount,11426
1,9,1,1,30,1.0,1.0,2.0,2,10,discount,11426
2,1,1,1,49,1.0,0.0,10.0,10,10,bogo,11426
3,3,0,1,0,,0.0,5.0,5,5,bogo,11426
4,8,1,1,28,1.0,0.0,5.0,5,5,bogo,11426
5,6,1,1,43,1.0,1.0,2.0,2,10,discount,11426
0,1,1,0,25,1.0,,0.0,10,10,bogo,11440
1,0,1,1,15,1.0,0.0,10.0,10,10,bogo,11440
2,6,1,1,33,1.0,1.0,2.0,2,10,discount,11440
0,4,1,1,21,1.0,1.0,5.0,5,20,discount,10487
1,9,1,0,0,1.0,,0.0,2,10,discount,10487
2,2,1,0,37,1.0,,0.0,0,0,informational,10487
3,1,1,0,0,1.0,,0.0,10,10,bogo,10487
4,6,1,1,11,1.0,1.0,2.0,2,10,discount,10487
0,9,1,0,1,1.0,,0.0,2,10,discount,9840
1,1,1,0,11,1.0,,0.0,10,10,bogo,9840
2,7,1,0,0,1.0,,0.0,0,0,informational,9840
3,0,1,0,0,1.0,,0.0,10,10,bogo,9840
0,4,0,0,0,,,0.0,5,20,discount,11172
1,1,1,0,5,1.0,,0.0,10,10,bogo,11172
2,7,1,0,5,1.0,,0.0,0,0,informational,11172
3,8,1,0,1,1.0,,0.0,5,5,bogo,11172
0,2,0,0,0,,,0.0,0,0,informational,9627
1,1,1,1,0,1.0,0.0,10.0,10,10,bogo,9627
2,3,0,1,0,,0.0,5.0,5,5,bogo,9627
3,8,1,0,0,1.0,,0.0,5,5,bogo,9627
4,6,1,1,40,1.0,1.0,2.0,2,10,discount,9627
0,9,1,0,2,1.0,,0.0,2,10,discount,10481
1,7,1,0,0,0.0,,0.0,0,0,informational,10481
2,0,1,0,12,1.0,,0.0,10,10,bogo,10481
3,6,1,0,9,1.0,,0.0,2,10,discount,10481
0,4,1,0,0,1.0,,0.0,5,20,discount,10833
1,2,1,0,0,1.0,,0.0,0,0,informational,10833
2,7,1,0,0,1.0,,0.0,0,0,informational,10833
3,0,1,0,0,1.0,,0.0,10,10,bogo,10833
0,9,1,1,69,1.0,0.5,4.0,2,10,discount,12671
1,2,1,0,64,1.0,,0.0,0,0,informational,12671
2,7,1,0,20,1.0,,0.0,0,0,informational,12671
3,8,1,1,60,1.0,1.0,5.0,5,5,bogo,12671
0,4,0,1,0,,0.0,5.0,5,20,discount,9425
1,9,1,1,21,1.0,1.0,2.0,2,10,discount,9425
2,1,1,0,4,1.0,,0.0,10,10,bogo,9425
3,0,1,0,25,1.0,,0.0,10,10,bogo,9425
0,5,1,0,0,1.0,,0.0,3,7,discount,3785
1,9,1,0,0,1.0,,0.0,2,10,discount,3785
2,7,1,0,0,1.0,,0.0,0,0,informational,3785
3,0,1,0,0,1.0,,0.0,10,10,bogo,3785
0,2,0,0,0,,,0.0,0,0,informational,9765
1,3,0,0,0,,,0.0,5,5,bogo,9765
2,8,1,1,8,1.0,1.0,5.0,5,5,bogo,9765
0,5,0,0,0,,,0.0,3,7,discount,13400
1,9,0,1,0,,0.0,2.0,2,10,discount,13400
2,1,1,1,24,1.0,1.0,10.0,10,10,bogo,13400
3,8,1,1,39,1.0,1.0,5.0,5,5,bogo,13400
4,6,1,1,36,1.0,0.0,2.0,2,10,discount,13400
0,5,1,1,26,1.0,0.0,3.0,3,7,discount,11614
1,9,1,1,11,1.0,1.0,2.0,2,10,discount,11614
2,2,0,0,0,,,0.0,0,0,informational,11614
3,0,1,0,0,1.0,,0.0,10,10,bogo,11614
4,8,1,0,0,1.0,,0.0,5,5,bogo,11614
5,6,1,0,0,1.0,,0.0,2,10,discount,11614
0,2,0,0,0,,,0.0,0,0,informational,10807
1,1,1,0,0,1.0,,0.0,10,10,bogo,10807
2,0,1,0,7,1.0,,0.0,10,10,bogo,10807
3,8,1,1,7,1.0,1.0,5.0,5,5,bogo,10807
0,5,1,1,25,1.0,1.0,3.0,3,7,discount,11105
1,7,1,0,0,0.0,,0.0,0,0,informational,11105
2,6,1,1,61,1.0,1.0,2.0,2,10,discount,11105
0,4,0,0,0,,,0.0,5,20,discount,13229
1,9,0,0,0,,,0.0,2,10,discount,13229
2,1,1,0,2,1.0,,0.0,10,10,bogo,13229
3,6,1,1,26,1.0,1.0,2.0,2,10,discount,13229
0,5,1,0,0,1.0,,0.0,3,7,discount,9859
1,2,1,0,5,1.0,,0.0,0,0,informational,9859
2,1,1,0,0,1.0,,0.0,10,10,bogo,9859
0,4,0,1,0,,0.0,5.0,5,20,discount,11682
1,2,1,0,0,0.0,,0.0,0,0,informational,11682
2,3,0,1,0,,0.0,5.0,5,5,bogo,11682
0,4,0,0,0,,,0.0,5,20,discount,10958
1,5,1,1,14,1.0,1.0,3.0,3,7,discount,10958
2,1,1,1,17,1.0,1.0,10.0,10,10,bogo,10958
3,0,1,0,0,1.0,,0.0,10,10,bogo,10958
4,8,1,0,0,1.0,,0.0,5,5,bogo,10958
0,2,0,0,0,,,0.0,0,0,informational,11181
1,1,1,0,13,1.0,,0.0,10,10,bogo,11181
2,6,1,1,48,1.0,1.0,4.0,2,10,discount,11181
0,2,1,0,1,1.0,,0.0,0,0,informational,10977
1,3,1,0,0,1.0,,0.0,5,5,bogo,10977
2,0,0,0,0,,,0.0,10,10,bogo,10977
3,8,1,0,0,1.0,,0.0,5,5,bogo,10977
4,6,1,0,0,1.0,,0.0,2,10,discount,10977
0,4,0,0,0,,,0.0,5,20,discount,10935
1,9,1,0,1,1.0,,0.0,2,10,discount,10935
2,3,1,0,0,1.0,,0.0,5,5,bogo,10935
3,6,1,0,0,1.0,,0.0,2,10,discount,10935
0,4,0,1,0,,0.0,5.0,5,20,discount,9411
1,5,1,1,53,1.0,1.0,3.0,3,7,discount,9411
2,1,1,1,86,1.0,1.0,10.0,10,10,bogo,9411
3,7,0,0,0,,,0.0,0,0,informational,9411
4,8,1,1,72,1.0,1.0,5.0,5,5,bogo,9411
0,4,1,1,67,1.0,1.0,5.0,5,20,discount,11667
1,9,1,1,47,1.0,1.0,2.0,2,10,discount,11667
2,1,1,1,79,1.0,1.0,20.0,10,10,bogo,11667
3,8,1,1,42,1.0,1.0,5.0,5,5,bogo,11667
0,5,1,0,0,1.0,,0.0,3,7,discount,11436
1,7,0,0,0,,,0.0,0,0,informational,11436
2,3,1,0,3,1.0,,0.0,5,5,bogo,11436
3,0,1,0,0,1.0,,0.0,10,10,bogo,11436
4,8,1,0,0,1.0,,0.0,5,5,bogo,11436
0,5,0,0,0,,,0.0,3,7,discount,10159
1,2,0,0,0,,,0.0,0,0,informational,10159
2,1,0,0,0,,,0.0,10,10,bogo,10159
3,7,1,0,2,1.0,,0.0,0,0,informational,10159
4,0,1,0,1,1.0,,0.0,10,10,bogo,10159
0,4,1,1,42,1.0,1.0,5.0,5,20,discount,13394
1,9,1,1,37,1.0,1.0,2.0,2,10,discount,13394
2,0,1,1,32,1.0,1.0,10.0,10,10,bogo,13394
3,8,0,0,0,,,0.0,5,5,bogo,13394
0,9,1,1,49,1.0,1.0,2.0,2,10,discount,13243
1,1,1,1,68,1.0,0.0,10.0,10,10,bogo,13243
0,1,1,0,0,1.0,,0.0,10,10,bogo,10158
1,3,0,0,0,,,0.0,5,5,bogo,10158
2,8,1,0,9,1.0,,0.0,5,5,bogo,10158
3,6,1,0,6,1.0,,0.0,2,10,discount,10158
0,5,1,1,43,1.0,1.0,3.0,3,7,discount,13029
1,3,1,1,52,1.0,0.0,5.0,5,5,bogo,13029
2,6,1,1,29,1.0,1.0,2.0,2,10,discount,13029
0,4,1,0,13,1.0,,0.0,5,20,discount,10211
1,9,0,0,0,,,0.0,2,10,discount,10211
2,3,0,0,0,,,0.0,5,5,bogo,10211
0,1,1,0,17,1.0,,0.0,10,10,bogo,11560
1,3,1,1,19,1.0,0.5,10.0,5,5,bogo,11560
2,8,1,1,8,1.0,1.0,5.0,5,5,bogo,11560
0,2,1,0,0,0.0,,0.0,0,0,informational,11267
1,1,0,0,0,,,0.0,10,10,bogo,11267
2,3,1,1,105,1.0,1.0,5.0,5,5,bogo,11267
3,8,1,1,70,1.0,1.0,10.0,5,5,bogo,11267
0,5,0,0,0,,,0.0,3,7,discount,11223
1,9,0,0,0,,,0.0,2,10,discount,11223
2,3,1,0,8,1.0,,0.0,5,5,bogo,11223
3,8,1,0,4,1.0,,0.0,5,5,bogo,11223
0,9,1,1,21,1.0,0.0,2.0,2,10,discount,9549
1,2,1,0,28,1.0,,0.0,0,0,informational,9549
2,3,1,1,8,1.0,0.0,5.0,5,5,bogo,9549
3,0,1,1,10,1.0,1.0,10.0,10,10,bogo,9549
4,8,1,1,12,1.0,0.0,5.0,5,5,bogo,9549
0,9,0,0,0,,,0.0,2,10,discount,10116
1,8,1,0,6,1.0,,0.0,5,5,bogo,10116
0,5,1,0,0,1.0,,0.0,3,7,discount,6223
1,9,1,1,0,1.0,0.0,2.0,2,10,discount,6223
2,3,1,1,77,1.0,1.0,10.0,5,5,bogo,6223
3,0,1,0,0,1.0,,0.0,10,10,bogo,6223
0,4,0,0,0,,,0.0,5,20,discount,12408
1,3,0,1,0,,0.0,5.0,5,5,bogo,12408
2,0,1,1,64,1.0,1.0,10.0,10,10,bogo,12408
3,6,1,1,82,1.0,1.0,2.0,2,10,discount,12408
0,4,0,0,0,,,0.0,5,20,discount,14737
1,5,1,1,7,1.0,0.0,3.0,3,7,discount,14737
2,1,1,1,13,1.0,0.0,10.0,10,10,bogo,14737
3,3,0,1,0,,0.0,5.0,5,5,bogo,14737
4,8,0,0,0,,,0.0,5,5,bogo,14737
5,6,1,1,19,1.0,1.0,2.0,2,10,discount,14737
0,5,1,1,18,1.0,1.0,3.0,3,7,discount,12449
1,1,1,0,1,1.0,,0.0,10,10,bogo,12449
2,3,0,1,0,,0.0,5.0,5,5,bogo,12449
3,8,1,1,32,1.0,1.0,5.0,5,5,bogo,12449
0,0,1,0,4,1.0,,0.0,10,10,bogo,10490
1,6,1,0,1,1.0,,0.0,2,10,discount,10490
0,5,1,1,107,1.0,0.5,6.0,3,7,discount,12892
1,7,1,0,29,1.0,,0.0,0,0,informational,12892
0,2,1,0,0,1.0,,0.0,0,0,informational,13702
1,3,0,1,0,,0.0,5.0,5,5,bogo,13702
0,9,0,0,0,,,0.0,2,10,discount,11289
1,2,0,0,0,,,0.0,0,0,informational,11289
2,1,1,0,0,1.0,,0.0,10,10,bogo,11289
3,7,1,0,6,1.0,,0.0,0,0,informational,11289
4,6,1,0,7,1.0,,0.0,2,10,discount,11289
0,4,0,0,0,,,0.0,5,20,discount,9736
1,2,0,0,0,,,0.0,0,0,informational,9736
2,1,1,0,0,1.0,,0.0,10,10,bogo,9736
3,3,1,1,6,1.0,1.0,5.0,5,5,bogo,9736
4,8,1,0,0,1.0,,0.0,5,5,bogo,9736
0,9,1,0,0,1.0,,0.0,2,10,discount,12015
1,1,1,0,8,1.0,,0.0,10,10,bogo,12015
2,3,0,0,0,,,0.0,5,5,bogo,12015
3,0,1,1,24,1.0,1.0,10.0,10,10,bogo,12015
4,6,0,1,0,,0.0,2.0,2,10,discount,12015
0,4,0,0,0,,,0.0,5,20,discount,13568
1,5,1,1,26,1.0,1.0,3.0,3,7,discount,13568
2,3,0,1,0,,0.0,5.0,5,5,bogo,13568
3,8,1,1,22,1.0,1.0,5.0,5,5,bogo,13568
0,4,0,0,0,,,0.0,5,20,discount,11651
1,5,1,0,3,1.0,,0.0,3,7,discount,11651
2,3,1,0,0,1.0,,0.0,5,5,bogo,11651
3,0,1,0,9,1.0,,0.0,10,10,bogo,11651
0,5,1,0,0,1.0,,0.0,3,7,discount,12315
1,2,1,0,0,1.0,,0.0,0,0,informational,12315
2,1,1,0,0,1.0,,0.0,10,10,bogo,12315
3,3,0,0,0,,,0.0,5,5,bogo,12315
0,3,0,1,0,,0.0,5.0,5,5,bogo,13782
1,0,1,0,0,1.0,,0.0,10,10,bogo,13782
2,8,1,1,7,1.0,0.0,10.0,5,5,bogo,13782
0,9,0,0,0,,,0.0,2,10,discount,10147
1,1,1,0,13,1.0,,0.0,10,10,bogo,10147
2,7,1,0,0,1.0,,0.0,0,0,informational,10147
3,6,1,0,2,1.0,,0.0,2,10,discount,10147
0,5,1,1,27,1.0,1.0,3.0,3,7,discount,13377
1,9,0,0,0,,,0.0,2,10,discount,13377
2,2,1,0,0,1.0,,0.0,0,0,informational,13377
3,6,1,0,7,1.0,,0.0,2,10,discount,13377
0,9,1,1,62,1.0,1.0,2.0,2,10,discount,13101
1,2,1,0,23,1.0,,0.0,0,0,informational,13101
2,7,1,0,83,1.0,,0.0,0,0,informational,13101
3,3,1,1,69,1.0,1.0,5.0,5,5,bogo,13101
0,3,0,1,0,,0.0,5.0,5,5,bogo,7558
1,0,1,0,9,1.0,,0.0,10,10,bogo,7558
2,6,1,0,5,1.0,,0.0,2,10,discount,7558
0,5,1,1,16,1.0,1.0,6.0,3,7,discount,10276
1,9,0,0,0,,,0.0,2,10,discount,10276
2,1,1,0,4,1.0,,0.0,10,10,bogo,10276
3,0,1,0,4,1.0,,0.0,10,10,bogo,10276
4,6,1,1,10,1.0,1.0,2.0,2,10,discount,10276
0,5,1,1,16,1.0,1.0,3.0,3,7,discount,9289
1,9,0,0,0,,,0.0,2,10,discount,9289
2,2,1,0,2,1.0,,0.0,0,0,informational,9289
3,3,0,1,0,,0.0,5.0,5,5,bogo,9289
4,0,1,0,7,1.0,,0.0,10,10,bogo,9289
0,5,1,1,14,1.0,0.0,3.0,3,7,discount,9947
1,7,0,0,0,,,0.0,0,0,informational,9947
2,8,1,1,29,1.0,1.0,5.0,5,5,bogo,9947
0,5,1,0,0,1.0,,0.0,3,7,discount,13168
1,2,0,0,0,,,0.0,0,0,informational,13168
2,7,1,0,0,1.0,,0.0,0,0,informational,13168
3,8,1,0,0,1.0,,0.0,5,5,bogo,13168
4,6,1,0,0,1.0,,0.0,2,10,discount,13168
0,9,1,1,39,1.0,0.0,2.0,2,10,discount,12669
1,2,1,0,0,1.0,,0.0,0,0,informational,12669
2,7,0,0,0,,,0.0,0,0,informational,12669
3,3,1,1,41,1.0,0.0,5.0,5,5,bogo,12669
4,8,1,1,14,1.0,0.0,5.0,5,5,bogo,12669
0,2,1,0,0,1.0,,0.0,0,0,informational,13332
1,1,1,0,0,1.0,,0.0,10,10,bogo,13332
2,7,0,0,0,,,0.0,0,0,informational,13332
3,0,1,0,0,1.0,,0.0,10,10,bogo,13332
0,4,0,0,0,,,0.0,5,20,discount,13177
1,2,0,0,0,,,0.0,0,0,informational,13177
2,3,1,0,0,1.0,,0.0,5,5,bogo,13177
3,8,1,0,0,1.0,,0.0,5,5,bogo,13177
0,5,1,1,21,1.0,1.0,3.0,3,7,discount,13749
1,3,1,1,40,1.0,1.0,5.0,5,5,bogo,13749
2,0,1,1,36,1.0,1.0,10.0,10,10,bogo,13749
3,6,1,1,14,1.0,1.0,2.0,2,10,discount,13749
0,9,0,0,0,,,0.0,2,10,discount,10655
1,3,1,1,72,1.0,1.0,5.0,5,5,bogo,10655
2,0,1,0,14,1.0,,0.0,10,10,bogo,10655
3,6,1,0,6,1.0,,0.0,2,10,discount,10655
0,4,0,1,0,,0.0,5.0,5,20,discount,12141
1,5,1,1,21,1.0,1.0,3.0,3,7,discount,12141
2,9,1,1,55,1.0,0.0,2.0,2,10,discount,12141
3,2,1,0,27,1.0,,0.0,0,0,informational,12141
4,6,1,1,33,1.0,1.0,2.0,2,10,discount,12141
0,9,1,1,121,1.0,0.6666666666666666,6.0,2,10,discount,11765
1,2,1,0,0,1.0,,0.0,0,0,informational,11765
