person,trans_amount
223,24.6
225,0.0
226,160.52
227,142.29999999999998
230,161.85
231,12.49
232,183.18
13477,37.71
234,12.159999999999998
236,0.0
237,164.16
238,21.560000000000002
4513,6.19
10119,15.819999999999999
241,171.87
242,222.36
243,145.28000000000003
245,15.329999999999998
246,700.4699999999999
247,252.23
249,19.240000000000002
250,172.35
251,167.79000000000002
252,241.54999999999995
253,91.62999999999998
254,88.83000000000001
256,274.16999999999996
258,240.14
1607,70.57000000000001
261,74.96
262,122.65
263,0.0
264,179.98
265,96.14
16457,20.419999999999998
269,5.04
273,857.75
274,153.94
277,27.23
278,220.47000000000006
279,82.42
280,141.64
281,110.79
282,99.47000000000001
283,217.62
284,610.52
1210,10.14
286,99.58
287,71.44
289,125.62
290,308.01
6865,17.42
293,93.69999999999999
294,0.0
296,67.32000000000001
297,333.15999999999997
298,0.0
300,129.14
301,10.610000000000001
302,142.75
303,22.31
305,173.79999999999998
307,19.79
308,64.73
312,222.45
313,7.99
314,135.57999999999998
315,66.67
316,125.62
317,222.34999999999997
1248,51.89
322,96.45
325,31.400000000000002
326,171.80999999999997
327,56.84
328,298.64
329,0.0
330,87.88
332,140.48000000000002
13208,28.27
2032,83.79
335,21.36
2037,84.03999999999999
337,9.77
338,20.7
339,23.45
340,20.59
342,55.9
343,163.13
344,22.970000000000002
345,169.31
346,133.4
11468,38.00000000000001
2105,101.00999999999999
353,148.84
354,304.61
356,261.09
357,213.60000000000002
12605,155.75
358,0.31
359,378.95
360,106.30000000000001
361,64.50999999999999
363,103.97
365,16.53
1112,18.459999999999997
2197,22.47
368,25.22
905,88.03
15307,3.02
371,93.94999999999999
372,104.26999999999998
374,0.0
375,55.31999999999999
376,610.0999999999999
11026,41.4
379,39.47
380,9.850000000000001
381,58.87
382,206.86
384,156.28
10950,46.7
389,33.480000000000004
4559,10.16
392,96.24
394,195.43
395,431.56000000000006
396,27.28
8547,258.88
398,164.66
399,400.53
400,9.55
401,61.78
2405,0.0
404,22.009999999999998
405,219.97
406,33.91
4108,48.40000000000001
409,83.4
410,172.94
412,127.81
414,35.25
415,14.040000000000001
416,104.63
417,10.83
418,9.39
2485,56.519999999999996
420,87.33
423,88.81
424,116.60000000000001
425,156.07999999999998
426,11.4
427,99.11000000000001
428,35.2
429,9.47
430,274.4
431,14.780000000000003
432,8.9
433,188.9
439,39.88
440,77.24
2620,27.689999999999998
442,56.83
443,62.519999999999996
446,278.71
448,48.22
450,58.38
2663,29.59
452,20.86
453,16.21
454,30.200000000000003
455,215.63
456,191.42
457,117.13000000000001
458,25.790000000000003
1874,1.9
460,91.47
462,77.83
463,174.91
464,255.7
5679,24.200000000000003
467,20.349999999999998
468,74.77999999999999
469,28.62
472,15.67
473,26.7
474,162.13
475,65.82
476,81.14999999999999
477,89.35
478,5.89
479,139.69
2838,6.85
483,209.17000000000002
484,57.29
485,18.54
903,21.589999999999996
16480,6.45
489,8.62
490,15.910000000000002
2913,37.17
493,11.92
494,31.99
495,48.88
496,93.96000000000001
497,49.08
498,71.03
499,11.34
501,162.07
503,148.85
504,366.73999999999995
505,21.04
509,136.59
510,30.959999999999997
511,170.76999999999998
512,137.43
513,166.59
514,31.89
515,62.73
3035,46.97
518,27.77
519,41.45
521,18.310000000000002
522,14.49
523,11.18
524,49.17
525,137.35
526,98.33999999999999
527,143.43
528,15.950000000000001
529,46.98
530,77.21000000000001
531,198.12
3150,13.330000000000002
3153,0.0
537,6.219999999999999
538,39.51
539,15.73
540,189.10000000000002
542,169.60000000000002
544,3.44
546,152.89
3219,306.25
548,129.79999999999998
3234,83.78999999999999
554,211.66
555,220.37999999999997
556,115.30000000000001
557,5.28
559,119.43
560,165.68
561,23.74
562,12.65
563,99.88
564,58.75
565,18.2
6187,65.86
9427,67.4
569,37.120000000000005
571,108.74000000000001
574,93.85
575,36.690000000000005
3381,22.500000000000004
579,193.6
580,51.14
3399,51.99
586,99.17
588,287.3
589,561.9699999999999
590,192.10000000000002
11393,23.560000000000002
4269,44.84
15429,27.49
597,244.77999999999997
598,201.45
599,51.6
603,332.53
604,26.21
605,29.669999999999995
606,0.0
607,68.50999999999999
608,15.459999999999999
609,100.89999999999998
610,157.87
611,310.62
612,13.17
614,16.060000000000002
6678,62.72
618,72.19000000000001
619,25.26
620,66.96000000000001
10246,48.129999999999995
624,91.0
625,100.65
626,199.57999999999998
627,3.5700000000000003
628,193.97000000000003
629,17.4
630,276.35
631,110.64999999999999
5714,47.61
634,111.71
635,135.02
636,112.12
637,34.660000000000004
638,8.71
639,25.54
641,132.94
642,139.5
643,71.72
644,26.38
646,232.38
647,194.82999999999998
648,108.74
7132,14.229999999999999
12197,337.84000000000003
651,120.72999999999999
8158,42.76
654,206.48999999999998
655,20.0
118,112.04
657,183.39000000000001
658,14.64
659,216.34
661,101.06
662,10.58
663,128.09
665,15.41
14933,10.100000000000001
668,278.88
669,195.47
670,345.59999999999997
671,460.52
673,217.93
676,193.2
677,233.53999999999996
678,128.86999999999998
679,231.70000000000002
680,18.35
681,18.7
682,138.71
684,163.15
686,41.84
3996,22.220000000000002
688,364.89
689,66.03
690,18.87
691,31.05
693,47.77
694,34.6
695,314.56000000000006
696,141.45
697,481.07
11389,119.66
699,13.64
700,107.95
701,10.36
702,78.41000000000001
703,18.87
704,23.830000000000002
705,0.67
707,131.98
708,131.07999999999998
711,36.480000000000004
712,157.84
4166,97.63
716,10.67
717,71.5
718,109.60999999999999
719,34.95
4239,85.3
4244,22.87
722,54.019999999999996
723,100.61000000000001
724,218.85000000000002
725,48.22
727,19.66
728,51.620000000000005
729,24.56
5266,191.59
732,65.91999999999999
733,4.47
734,57.720000000000006
735,12.75
736,80.93
737,72.39999999999999
738,195.15
740,86.45
741,30.439999999999998
742,75.31
743,23.84
4397,0.0
748,32.95
749,146.87
750,104.76
751,32.78
752,61.510000000000005
753,62.940000000000005
754,105.41999999999999
755,5.57
756,0.0
757,43.39
4485,5.34
760,13.15
762,116.27000000000001
2107,23.87
4509,21.7
766,67.93
767,22.950000000000003
768,167.3
769,155.23000000000002
770,198.91
771,263.48
7615,131.9
773,523.47
1294,54.46
775,162.89999999999998
777,307.27
778,234.47
780,24.389999999999993
781,16.98
782,21.39
783,29.35
784,114.77
785,8.09
788,279.15999999999997
5735,74.33
790,78.94
4640,22.139999999999997
792,28.709999999999997
793,131.21
4658,53.31
797,32.54
798,233.38000000000002
801,51.91999999999999
802,138.37
803,135.84000000000003
804,70.03
805,0.0
806,105.61
808,118.88999999999999
809,99.58000000000001
11306,76.49
812,451.41
813,177.33999999999997
814,26.64
815,24.24
816,101.29
818,214.99
824,0.0
828,162.01999999999998
829,86.28
830,82.05000000000001
831,250.23999999999998
832,34.010000000000005
4932,120.58
835,18.06
836,71.82000000000001
837,5.72
8776,50.89
841,23.220000000000002
5022,132.44
844,234.29
845,202.07
846,182.56
1606,0.0
848,19.3
849,46.93
850,7.970000000000001
851,104.03999999999999
852,0.0
854,72.7
855,20.769999999999996
856,231.15
858,354.18
859,193.36
860,10.2
861,74.16
862,105.72999999999999
863,102.03999999999999
5167,58.18
865,195.44
866,50.17
868,1003.4100000000001
870,86.31
871,483.27
5722,144.26
873,56.74
874,171.75
876,66.91
878,166.95
879,134.14
881,265.7
882,31.44
883,176.94
884,55.28
10899,15.39
889,97.93
890,198.13
892,54.84
893,28.039999999999996
894,91.82000000000001
896,263.17999999999995
897,174.51
898,83.34
899,12.560000000000002
900,4.529999999999999
901,20.15
902,166.94
904,21.880000000000003
906,101.64
907,14.78
908,19.080000000000002
910,116.22999999999999
911,126.38000000000001
912,15.440000000000001
5440,15.810000000000002
915,882.3700000000001
916,71.41999999999999
918,770.6200000000001
920,50.220000000000006
921,41.230000000000004
922,53.12
923,19.33
924,217.01
5511,10.36
926,43.02
570,117.28999999999999
928,17.08
5535,121.68
931,1.13
932,168.58
934,163.11
935,6.18
936,22.01
4301,160.89999999999998
938,53.74
939,234.14000000000001
941,177.43
11761,7.07
7662,18.95
945,103.02
948,78.42
949,78.54
11048,181.82000000000002
950,19.67
954,193.70999999999998
956,65.79
1253,13.26
958,6.97
959,928.64
960,77.53
962,171.05999999999997
963,57.64
964,15.989999999999998
965,142.52999999999997
966,13.38
967,77.56
5752,12.3
969,115.59
971,224.95000000000002
972,244.22
5785,14.049999999999999
975,112.33000000000001
977,75.48
979,362.68999999999994
14324,13.05
980,205.62
981,248.01999999999998
5853,98.98
983,50.830000000000005
984,272.00999999999993
985,120.76999999999998
986,146.87
987,12.259999999999998
988,222.96
989,74.80999999999999
990,29.29
991,131.47
992,16.699999999999996
993,75.14
994,49.06
995,16.41
996,370.75999999999993
997,170.18
999,19.78
1000,85.62
1001,45.4
1002,13.309999999999999
1003,158.38
1004,92.7
1005,68.49000000000001
1006,232.09000000000003
6005,132.98
1009,236.85999999999999
1010,75.27000000000001
1011,162.60999999999999
1012,53.82
1013,85.50999999999999
1014,84.47999999999999
1015,2.59
1017,116.24
1019,281.77000000000004
1020,507.32000000000005
1021,165.01999999999998
1022,51.580000000000005
1024,279.48
1025,226.63000000000002
1026,5.77
1027,132.07
1028,78.78999999999999
1030,108.02
1032,41.449999999999996
1034,22.42
1035,51.129999999999995
1036,13.46
11451,37.86
1038,23.72
1041,41.81
1049,211.76999999999995
5869,12.129999999999999
1050,86.53
1051,15.060000000000002
1052,15.26
1054,250.48999999999998
1055,0.0
1058,205.11000000000004
1059,149.17000000000002
1060,987.5400000000001
1061,71.2
1062,5.3
1063,50.39
1064,11.16
1065,212.07
10764,50.09
1070,79.55999999999999
6398,30.229999999999997
1073,10.91
1074,69.32
1075,13.22
1078,241.54
1080,10.54
1082,5.38
1083,166.97999999999996
6468,11.530000000000001
1087,38.41
1088,187.20999999999998
1089,110.06
1090,43.510000000000005
6491,20.13
1092,369.43000000000006
1093,18.84
1094,26.599999999999998
1095,71.71000000000001
1096,31.380000000000003
1097,161.38
3270,12.57
1099,191.38
1100,164.14
1101,105.56
1104,123.99
1105,0.0
1106,133.47
1107,183.08
1108,328.61999999999995
1109,6.37
1110,27.91
1113,8.6
1114,1118.78
1115,134.82
1116,135.84
1117,117.34000000000002
1118,42.629999999999995
1119,0.0
1121,98.91
1122,186.8
1123,207.63000000000002
1124,103.15
1125,110.19999999999999
1126,179.08
998,104.76
1129,124.6
1130,0.0
4768,139.24
1132,10.92
1136,208.04000000000002
1137,50.949999999999996
1138,4.52
1140,135.94
1141,26.88
1143,28.86
1144,1.1600000000000001
1147,18.21
1148,103.34
6871,6.05
1150,97.85
1152,25.109999999999996
1153,80.17
1154,95.03999999999999
1156,80.93
1158,28.31
1159,119.55999999999999
15575,121.11000000000001
1162,0.0
9431,64.11
1164,8.82
1165,90.82
6980,248.17
1168,18.0
1170,49.459999999999994
1171,190.61
1173,57.68
1175,9.51
7051,8.620000000000001
10763,123.07
1180,0.0
1181,300.64000000000004
1182,64.24
1184,58.31
7085,159.11
1186,193.24
1187,158.58
1188,20.490000000000002
1190,242.64
1191,254.57
1192,87.21000000000002
5810,95.87
5081,0.0
1196,33.35
1199,243.47000000000003
683,100.94
1204,52.24
1205,49.870000000000005
8405,92.60000000000001
1208,196.14
1209,142.39000000000001
1211,402.51000000000005
15556,101.83000000000001
1214,653.44
1215,5.07
1217,118.26999999999998
1218,28.82
1219,11.3
1222,220.45
1223,89.25
11310,46.870000000000005
7352,260.01
9828,160.49
1227,113.5
1228,145.36
1229,121.66
1231,43.39
7390,115.9
1233,195.64999999999998
1234,7.44
1235,69.32
1236,256.08
1238,9.780000000000001
7427,11.14
1241,112.84
1242,71.02000000000001
1243,22.24
1245,160.44
774,17.82
1247,984.69
7480,16.4
205,62.650000000000006
4736,32.6
1254,176.01
1255,78.38000000000001
1256,272.89
1257,275.36000000000007
1258,156.56
7589,236.14
11495,148.26999999999998
1266,57.63
1268,26.04
1269,35.99
1270,188.85999999999999
1271,7.449999999999999
7654,21.880000000000003
1276,24.339999999999996
1277,19.13
7669,54.28
1279,29.950000000000003
1280,90.78
1281,9.9
1282,151.8
2748,69.67
1286,63.96000000000001
1287,45.87
1288,178.16
1291,92.74000000000001
1293,111.97
1295,95.38
1297,45.190000000000005
1298,15.46
1299,10.8
1300,112.99000000000001
1301,171.12
1302,19.97
1303,88.89
215,124.44
1305,5.6499999999999995
1306,8.98
1307,13.84
1308,135.91
1309,12.43
1310,287.85
461,12.33
1313,16.119999999999997
1314,16.0
1315,57.36
1316,168.47000000000003
1317,1.42
1318,256.78000000000003
1319,299.17
1320,139.84
1321,57.07
1324,122.44999999999999
1325,70.22
1326,360.84000000000003
7929,40.85
8728,6.74
1330,443.31
2317,117.89
1333,162.45000000000002
1336,23.349999999999998
1337,285.48
1339,12.65
1340,117.49
1341,112.58000000000001
1343,212.84
5275,952.0199999999999
13108,80.05000000000001
8031,112.99000000000001
1348,245.26999999999998
1349,21.19
1350,201.77999999999997
1351,8.329999999999998
1352,316.15
1353,284.54
1354,33.230000000000004
8455,260.35
13705,213.49999999999997
1357,225.96
1358,182.67
1359,7.17
1360,57.59
1361,50.07
1362,223.04000000000002
1364,17.35
1365,100.39999999999999
1366,6.66
1367,18.24
1370,44.199999999999996
1371,87.82000000000001
1372,264.69
1374,15.94
14210,183.58
4377,57.14
1378,77.08
1379,500.16999999999996
1380,122.02000000000001
1381,23.84
13012,6.57
1383,81.34
1384,6.6899999999999995
1385,196.12
12561,71.27
1388,7.67
1389,1.83
1390,106.05
8294,40.620000000000005
8298,68.68
1393,23.3
1395,208.97
1396,106.21000000000001
1399,23.39
1400,21.67
1401,141.02
1403,104.76
1404,16.240000000000002
1405,235.41
8392,155.1
8406,11.19
1410,62.650000000000006
1413,60.129999999999995
1414,53.11
1415,81.91
1417,46.32
1418,250.79999999999998
1419,98.63
1420,32.599999999999994
1421,23.989999999999995
1422,13.19
1423,65.85
1424,1016.93
1426,25.959999999999997
1427,161.32
1428,18.92
1429,176.34
9843,39.09
1431,46.59
8539,8.64
1433,70.12
1434,2.98
1435,142.91
1436,50.0
1437,556.83
1438,269.74
1439,6.92
1441,19.33
1443,210.76
1444,138.76
1445,113.93
1447,104.60999999999999
1448,421.16999999999996
1449,231.38000000000002
1452,255.21000000000006
1453,362.69
1454,19.5
1455,156.99999999999997
1456,17.81
1457,12.520000000000001
1458,0.26
1988,8.25
1460,173.22
8672,37.99000000000001
8678,21.77
1464,32.22
1465,1000.5699999999999
1466,15.84
1467,60.709999999999994
1469,223.04000000000002
1470,51.480000000000004
1471,122.87
1473,273.26
1475,49.650000000000006
1476,90.45
1477,74.2
1478,23.900000000000002
1479,297.1
1480,5.46
5856,276.21
1485,133.02
1486,57.34
1487,180.57
1488,7.08
1489,184.46000000000004
1490,40.8
5858,81.69999999999999
5439,11.420000000000002
1494,24.250000000000004
1496,46.06999999999999
1497,184.82000000000002
1498,141.51
1499,103.28
1500,239.67000000000002
1501,289.76000000000005
1502,80.17
1505,18.08
1506,597.85
1507,36.91
1510,261.36
11033,133.49
1512,497.54999999999995
1516,14.52
1517,5.9300000000000015
1518,249.12000000000003
1519,33.519999999999996
1520,14.639999999999999
1521,4.92
8729,152.44
1523,167.91
1524,55.239999999999995
1525,682.9000000000001
6175,52.49
1527,46.46000000000001
1530,20.52
1532,22.700000000000003
1533,56.58
1534,227.77
1535,34.36000000000001
1537,34.63
9076,163.58999999999997
1539,175.67000000000002
1540,60.18
1543,58.42999999999999
9103,28.310000000000002
7461,61.49
9115,110.91
1548,74.38
1549,143.21
1550,7.33
1551,5.17
1553,206.41
1554,15.569999999999999
1555,164.3
1556,188.70000000000002
1559,31.97
1560,187.75
1562,26.66
1563,2.58
1564,41.960000000000015
1568,148.67
1569,63.14
1571,91.19000000000001
1572,187.15
1573,99.56
1574,19.14
1575,56.12
1576,89.74000000000001
1577,19.68
1578,2.75
4631,31.81
1580,5.02
1583,221.92000000000002
1584,42.13999999999999
1585,13.489999999999998
1586,200.57000000000002
1587,31.910000000000004
1588,141.14000000000001
1590,45.72
1591,167.93
1595,113.46
1596,210.07999999999998
1597,156.73999999999998
9418,11.45
1599,34.8
1601,163.77
11545,116.33
1604,194.17000000000002
1608,121.87
1609,173.64
1610,50.35
1611,0.0
9505,66.39
1614,324.88
1615,22.580000000000002
1616,101.47999999999999
1618,128.88
1619,93.85000000000001
1620,191.95
1623,13.11
1624,89.34
1626,148.0
1627,51.900000000000006
1628,380.47
1631,200.04999999999998
1632,13.669999999999998
1633,20.39
1636,180.57999999999998
1637,827.45
1639,7.490000000000001
1641,64.62999999999998
1642,278.61
1644,302.49999999999994
16187,26.96
1649,0.0
1650,49.81000000000001
15866,4.2
1655,70.69
1656,99.06
1657,203.19
1659,23.96
1660,0.0
2169,34.1
1662,74.87
1663,108.31000000000002
1664,231.99999999999997
1665,27.07
1667,249.92
1668,4.529999999999999
1669,22.68
1671,129.67000000000002
1672,237.54
1673,319.42
1674,152.45999999999998
1675,19.23
9922,39.11
1677,8.42
1678,232.99999999999997
1680,123.16
1681,26.85
10436,39.57999999999999
1683,38.41
1684,44.239999999999995
1685,72.37
1687,0.0
1688,745.53
1689,249.7
1690,825.69
1691,171.04
1693,151.88
14888,27.7
1697,46.32000000000001
1698,87.93
1700,6.31
1702,20.28
1703,150.94
1705,26.950000000000003
1706,192.14
1707,61.13
1708,46.47
1709,43.71000000000001
1710,21.939999999999998
9485,2.14
7847,6.1499999999999995
8478,28.05
10149,16.82
1716,34.24
10180,87.66999999999999
1720,315.4
1722,145.31
1723,219.76000000000002
10244,18.87
1725,30.910000000000004
1727,11.76
1730,109.45
1731,302.64000000000004
1732,96.2
1733,92.39
1734,125.02
187,79.94999999999999
1737,316.13
10321,22.99
1739,25.560000000000002
1741,136.86
1742,197.32
6368,30.009999999999998
15048,40.06999999999999
1745,254.67000000000002
1748,261.97
1750,41.620000000000005
1751,26.84
1754,143.79
3431,4.51
1757,1.11
1758,139.14
1759,21.960000000000004
1760,6.0
1761,238.36
1763,184.03
1765,133.42
1766,651.1899999999999
1767,22.43
1768,172.1
1769,74.33000000000001
1771,39.339999999999996
1772,11.56
1774,163.77
1775,58.269999999999996
1776,94.79999999999998
1777,88.95
1778,27.300000000000004
1779,48.239999999999995
1780,57.42000000000001
1782,14.829999999999998
1783,34.39
1784,27.730000000000004
1785,148.58
10614,42.53
1789,239.96
1790,54.919999999999995
1791,57.87
1792,48.18
1794,53.24
1795,101.78999999999999
7346,293.56999999999994
1797,22.36
1798,28.310000000000002
1799,258.11
1800,33.3
1801,395.24999999999994
12270,246.06
1803,159.04999999999998
1805,176.2
1806,170.83
1807,10.39
1808,214.54
1809,224.45999999999998
1810,951.53
1811,109.95
1813,140.35000000000002
1814,41.42
1815,13.110000000000001
1816,100.89
1817,172.78
1820,167.1
1821,22.650000000000002
1822,60.0
1823,90.35
1825,161.19
1827,147.75
1828,122.53999999999999
13099,158.25
1830,182.24999999999997
1831,214.79
1833,197.65
1834,24.38
1836,48.6
1839,9.82
1840,22.51
1842,19.76
1844,182.43
1845,42.449999999999996
1848,301.93
3575,38.260000000000005
1852,114.24000000000001
1853,254.2
1854,60.25000000000001
4240,93.56
1860,58.970000000000006
1861,28.03
1862,248.06
1863,198.05
11025,0.0
11027,1.63
1866,9.379999999999999
1868,192.25
1870,178.91000000000003
1871,31.9
11791,104.99
1873,531.69
1875,155.69
1877,59.16
1878,260.38
1879,9.96
1881,12.219999999999999
1882,29.880000000000003
1883,61.059999999999995
1884,175.49000000000004
1885,239.8
1886,226.07
11154,155.76
1889,21.410000000000004
1891,195.17
1892,33.91
1894,37.31
1895,123.94
1898,53.63
1899,10.41
1900,73.98
1901,8.31
1902,152.38
3423,12.87
1904,163.29
11294,8.91
5251,94.34
1907,286.90000000000003
1908,60.59
1909,6.4399999999999995
12803,8.68
1912,92.17000000000002
1913,224.37
9238,33.55
1915,104.15
1916,84.81
1918,12.31
1920,234.01
11414,198.88000000000002
1922,48.09
1923,24.99
1924,105.55
1925,274.56
1927,32.730000000000004
13277,147.89
1929,264.34000000000003
1930,186.29
1932,13.82
1933,24.83
1934,12.12
1935,170.47
1936,138.31000000000003
1938,167.73000000000002
1939,16.5
1940,0.0
1941,9.21
1942,632.75
1943,99.75
1945,40.28
1946,157.59
1948,114.89999999999999
1949,195.77000000000004
1950,22.040000000000003
5004,25.52
1956,2.64
1960,189.68999999999997
1961,120.62
7382,54.52
3308,10.14
1964,12.39
1966,129.57
1967,9.57
1969,102.32000000000001
11675,191.27
1972,30.14
1973,0.0
1974,64.68
11694,267.73
1978,42.5
11707,174.56
1980,253.99
1981,150.75
1983,18.71
1984,13.41
1985,39.22
1986,592.43
1989,196.8
1992,0.0
1994,325.24
1995,31.200000000000003
1999,166.18
2000,238.79
2002,185.64000000000001
2003,42.44
2004,226.74
2005,17.35
2006,141.98999999999998
2007,26.110000000000003
2009,34.730000000000004
13403,100.66999999999999
11921,8.8
2013,122.00000000000001
2014,524.45
2016,46.230000000000004
2018,15.17
5736,16.43
2023,121.3
2025,83.17
2026,70.69999999999999
2027,12.61
2028,192.31
2030,224.32
2031,58.230000000000004
12074,69.95
8431,2.32
2034,12.36
2035,52.129999999999995
6728,37.730000000000004
2039,94.67999999999999
2040,233.84
2041,40.69
2042,126.77999999999999
411,14.190000000000001
2044,28.28
2045,65.25
2047,91.4
2050,123.75999999999999
2052,43.3
2053,90.5
2055,176.68
2056,159.15
2057,213.22999999999996
2058,68.58
2059,169.01000000000002
2060,26.77
2061,82.30999999999999
2063,118.03
2064,191.67
2065,189.98000000000002
12262,110.34
2071,17.560000000000002
1715,12.569999999999999
2073,366.44000000000005
2074,17.96
2076,41.69
2077,9.780000000000001
2078,26.509999999999998
2079,202.5
2080,18.450000000000003
14790,8.1
2083,59.09
2085,29.65
2086,93.69999999999999
2087,20.83
2089,209.73
2090,109.8
2091,14.18
2092,13.54
2093,5.58
2094,60.57
2095,49.47
2098,175.10000000000002
12488,66.11
2100,141.71
2102,152.7
2103,21.779999999999998
2106,167.03000000000003
2108,111.74000000000001
2110,306.17
2111,16.9
8308,64.53
2115,20.47
2118,809.46
11622,21.69
2120,10.87
2122,231.66
2123,198.07
2124,200.73999999999998
2125,125.5
2126,194.89
2129,188.35
2130,186.71000000000004
2131,140.63
2133,128.96
2134,24.25
2135,249.42999999999998
2136,189.51000000000002
2140,104.78999999999999
2142,317.92999999999995
2143,213.03
2145,20.05
9217,206.07999999999998
2147,5.7299999999999995
2148,69.50999999999999
2149,19.46
14532,103.97999999999999
2153,41.230000000000004
2154,130.07
2156,157.98999999999998
2160,100.21000000000001
2161,85.14
2162,189.28
2167,375.84999999999997
2168,19.82
6519,136.85000000000002
2170,5.09
2171,5.87
2174,10.04
2175,17.57
2176,17.7
2177,958.4699999999999
2178,255.82999999999998
2179,91.76999999999998
2180,127.19
2181,137.5
2182,85.38
2183,214.2
2184,34.480000000000004
2185,28.450000000000003
3632,191.76
2187,40.64
2189,237.85999999999999
2190,209.57999999999998
2191,807.8699999999999
2193,0.0
2194,151.18
2195,210.48999999999998
2196,24.78
2199,143.87
2200,48.96
2201,160.83
2202,95.98
2203,18.950000000000003
2204,36.269999999999996
13136,8.04
2208,56.290000000000006
2209,139.04
2210,153.41000000000003
2212,179.31999999999996
2214,97.2
2215,42.37
2216,42.379999999999995
2218,163.66
2219,164.14
2220,526.5699999999999
2221,7.67
13240,13.14
2224,32.1
8440,29.59
2225,97.97999999999999
2227,55.23
2228,231.19000000000003
13458,23.560000000000002
2230,235.53
2231,46.48
2232,64.13
2233,16.3
2234,257.34999999999997
2235,16.27
2238,85.06
2241,114.26000000000002
2242,4.25
2243,92.52
2244,7.23
2246,0.0
2247,31.17
2253,136.33
2254,52.07
2198,16.83
4105,192.42
13439,0.86
2258,190.96999999999997
2259,8.660000000000002
14550,27.550000000000004
2260,188.49
270,157.16000000000003
2262,13.85
2263,122.58
2264,137.61
2265,45.56
13493,14.0
2267,31.03
2268,206.56
2269,202.39999999999998
2270,77.63
2271,80.86
2272,28.07
2273,98.13999999999999
2275,53.61
13558,33.56
2277,79.41
2278,57.36000000000001
2279,202.66
2281,21.07
2282,220.05999999999997
2284,7.2
2285,194.69
2286,12.59
2287,31.56
2288,144.95999999999998
6170,205.62000000000003
2290,86.87
2291,224.26000000000002
2292,126.3
2293,172.36
2295,34.85
14557,74.81
2297,29.42
12982,71.74
2299,122.55000000000001
14558,239.51
2302,16.2
2304,216.41000000000003
2305,339.78000000000003
2306,367.12000000000006
2307,64.24
14551,76.81
2309,137.72
2311,80.24000000000001
2312,10.91
2313,10.030000000000001
2314,175.85000000000002
2315,212.41
1593,153.84
2318,29.310000000000002
2322,280.87
2323,181.66
2324,21.85
2325,63.0
13885,88.64
2327,43.449999999999996
2329,24.360000000000003
2330,164.76999999999998
13914,27.66
391,246.75000000000003
2333,101.38000000000001
2335,143.15
2336,47.08
2338,293.43
2344,1.45
2346,92.87
13972,94.5
2348,88.31
6137,67.32
2350,150.74
2351,23.270000000000003
2352,253.33999999999997
2353,22.66
2354,80.52
2357,123.73
137,9.8
2360,190.59
2361,21.41
2362,200.6
2363,168.07
2364,110.22
2365,22.57
2366,83.68
2367,215.43
14069,80.02000000000001
2369,122.97
2371,50.08
6018,251.01000000000002
15416,9.76
2375,178.62000000000003
2376,100.86000000000001
2378,137.89000000000001
2379,22.25
2380,16.610000000000003
2381,244.31000000000003
2382,167.88
2385,90.08999999999999
2387,147.02
2388,67.52
