offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,user_id
3.0,1.0,1.0,0.0,1.0,0.0,5.0,106
0.0,1.0,1.0,0.0,1.0,0.0,10.0,106
5.0,1.0,1.0,21.86,1.0,1.0,3.0,107
1.0,1.0,1.0,17.48,1.0,1.0,10.0,107
0.0,1.0,1.0,14.36,1.0,1.0,10.0,107
8.0,1.0,1.0,14.87,1.0,1.0,5.0,107
6.0,1.0,1.0,24.39,1.0,1.0,2.0,107
2.0,1.0,0.0,1.76,1.0,,0.0,108
1.0,1.0,0.0,14.27,1.0,,0.0,108
3.0,0.0,0.0,0.0,,,0.0,108
0.0,1.0,0.0,3.0199999999999996,1.0,,0.0,108
4.0,1.0,1.0,45.64,1.0,1.0,5.0,109
2.0,1.0,0.0,29.04,1.0,,0.0,109
8.0,1.0,1.0,0.0,1.0,0.0,5.0,109
6.0,1.0,1.0,15.02,1.0,1.0,4.0,109
9.0,1.0,1.0,29.14,1.0,1.0,2.0,110
1.0,1.0,1.0,12.23,1.0,1.0,20.0,110
0.0,0.0,1.0,0.0,,0.0,10.0,110
2.0,0.0,0.0,0.0,,,0.0,111
1.0,1.0,0.0,5.85,1.0,,0.0,111
3.0,0.0,1.0,0.0,,0.0,5.0,111
0.0,1.0,0.0,0.0,1.0,,0.0,111
9.0,1.0,1.0,19.11,1.0,1.0,2.0,112
1.0,1.0,1.0,11.91,1.0,1.0,10.0,112
7.0,1.0,0.0,68.81,1.0,,0.0,112
8.0,1.0,1.0,23.38,1.0,1.0,5.0,112
9.0,0.0,1.0,0.0,,0.0,2.0,113
1.0,1.0,1.0,20.759999999999998,1.0,1.0,10.0,113
3.0,0.0,1.0,0.0,,0.0,5.0,113
6.0,1.0,1.0,11.25,1.0,1.0,2.0,113
2.0,0.0,0.0,0.0,,,0.0,114
1.0,1.0,1.0,24.95,1.0,1.0,10.0,114
0.0,1.0,1.0,20.8,1.0,1.0,10.0,114
8.0,1.0,1.0,42.76,1.0,1.0,10.0,114
6.0,1.0,1.0,0.0,1.0,1.0,2.0,114
5.0,1.0,1.0,25.93,1.0,1.0,6.0,116
9.0,0.0,1.0,0.0,,0.0,2.0,116
1.0,1.0,1.0,0.0,1.0,0.0,10.0,116
0.0,0.0,0.0,0.0,,,0.0,116
6.0,1.0,1.0,14.36,1.0,1.0,2.0,116
5.0,1.0,1.0,28.44,1.0,1.0,6.0,117
9.0,1.0,1.0,33.63,1.0,1.0,2.0,117
0.0,1.0,0.0,0.0,1.0,,0.0,117
8.0,1.0,1.0,20.26,1.0,1.0,5.0,117
5.0,0.0,0.0,0.0,,,0.0,656
1.0,1.0,0.0,0.0,1.0,,0.0,656
7.0,0.0,0.0,0.0,,,0.0,656
3.0,0.0,0.0,0.0,,,0.0,656
0.0,0.0,0.0,0.0,,,0.0,656
5.0,1.0,1.0,16.37,1.0,1.0,3.0,120
7.0,1.0,0.0,12.3,1.0,,0.0,120
3.0,0.0,1.0,0.0,,0.0,5.0,120
5.0,1.0,0.0,5.58,1.0,,0.0,121
1.0,1.0,0.0,10.93,1.0,,0.0,121
7.0,1.0,0.0,0.0,1.0,,0.0,121
3.0,1.0,0.0,1.1400000000000001,1.0,,0.0,121
8.0,1.0,0.0,4.78,1.0,,0.0,121
9.0,1.0,0.0,5.62,1.0,,0.0,122
1.0,1.0,0.0,0.67,1.0,,0.0,122
7.0,1.0,0.0,3.11,1.0,,0.0,122
1.0,1.0,0.0,7.45,1.0,,0.0,123
3.0,1.0,1.0,0.0,1.0,1.0,5.0,123
0.0,1.0,0.0,0.0,1.0,,0.0,123
8.0,1.0,1.0,10.81,1.0,1.0,5.0,123
6.0,1.0,1.0,11.83,1.0,1.0,2.0,123
4.0,0.0,0.0,0.0,,,0.0,124
2.0,1.0,0.0,8.72,1.0,,0.0,124
8.0,1.0,0.0,5.47,1.0,,0.0,124
9.0,1.0,1.0,17.439999999999998,1.0,1.0,2.0,125
1.0,1.0,0.0,0.0,1.0,,0.0,125
7.0,1.0,0.0,19.9,1.0,,0.0,125
0.0,1.0,1.0,13.01,1.0,1.0,10.0,125
5.0,1.0,0.0,0.0,1.0,,0.0,126
7.0,1.0,0.0,1.33,1.0,,0.0,126
0.0,1.0,0.0,3.37,1.0,,0.0,126
8.0,1.0,0.0,3.37,1.0,,0.0,126
5.0,1.0,0.0,0.0,1.0,,0.0,127
9.0,0.0,0.0,0.0,,,0.0,127
7.0,1.0,0.0,0.0,1.0,,0.0,127
3.0,0.0,0.0,0.0,,,0.0,127
0.0,1.0,0.0,9.02,1.0,,0.0,127
5.0,1.0,1.0,0.0,1.0,1.0,3.0,129
7.0,1.0,0.0,0.0,0.0,,0.0,129
0.0,1.0,0.0,4.5600000000000005,1.0,,0.0,129
6.0,1.0,0.0,4.510000000000001,1.0,,0.0,129
2.0,1.0,0.0,0.0,1.0,,0.0,739
1.0,1.0,1.0,0.0,1.0,0.0,10.0,739
7.0,1.0,0.0,0.0,1.0,,0.0,739
6.0,1.0,1.0,19.71,1.0,1.0,2.0,739
4.0,1.0,0.0,0.0,1.0,,0.0,132
5.0,1.0,1.0,0.0,1.0,0.0,3.0,132
2.0,1.0,0.0,0.0,1.0,,0.0,132
1.0,1.0,0.0,0.0,1.0,,0.0,132
3.0,1.0,1.0,12.27,1.0,1.0,5.0,132
2.0,0.0,0.0,0.0,,,0.0,133
0.0,1.0,1.0,65.69,1.0,1.0,20.0,133
8.0,1.0,1.0,22.02,1.0,1.0,5.0,133
9.0,1.0,0.0,1.16,1.0,,0.0,764
7.0,1.0,0.0,0.51,1.0,,0.0,764
3.0,0.0,0.0,0.0,,,0.0,764
0.0,1.0,0.0,0.0,1.0,,0.0,764
8.0,1.0,0.0,1.29,1.0,,0.0,764
2.0,1.0,0.0,61.86,1.0,,0.0,135
0.0,1.0,1.0,12.79,1.0,0.5,20.0,135
9.0,0.0,1.0,0.0,,0.0,2.0,776
2.0,1.0,0.0,2.98,1.0,,0.0,776
1.0,1.0,1.0,15.46,1.0,1.0,10.0,776
4.0,0.0,1.0,0.0,,0.0,5.0,139
1.0,1.0,0.0,0.0,1.0,,0.0,139
7.0,1.0,0.0,0.0,1.0,,0.0,139
4.0,1.0,0.0,0.0,1.0,,0.0,141
3.0,1.0,1.0,19.1,1.0,1.0,5.0,141
8.0,1.0,1.0,34.11,1.0,1.0,5.0,141
5.0,1.0,1.0,0.0,1.0,0.0,3.0,145
7.0,1.0,0.0,27.59,1.0,,0.0,145
8.0,1.0,1.0,29.44,1.0,1.0,5.0,145
6.0,1.0,1.0,39.71,1.0,1.0,2.0,145
9.0,1.0,1.0,15.56,1.0,1.0,2.0,146
2.0,1.0,0.0,0.0,1.0,,0.0,146
0.0,1.0,1.0,20.89,1.0,1.0,10.0,146
4.0,0.0,0.0,0.0,,,0.0,147
5.0,1.0,0.0,0.0,1.0,,0.0,147
3.0,0.0,0.0,0.0,,,0.0,147
8.0,1.0,0.0,0.0,1.0,,0.0,147
4.0,1.0,1.0,10.72,1.0,1.0,5.0,4220
2.0,1.0,0.0,34.32,1.0,,0.0,4220
1.0,1.0,1.0,0.0,1.0,0.0,10.0,4220
8.0,1.0,0.0,0.0,1.0,,0.0,4220
2.0,1.0,0.0,28.71,1.0,,0.0,151
7.0,1.0,0.0,400.25,1.0,,0.0,151
6.0,1.0,1.0,0.0,1.0,0.0,2.0,151
4.0,1.0,0.0,8.8,1.0,,0.0,153
5.0,1.0,0.0,0.0,1.0,,0.0,153
7.0,1.0,0.0,8.39,1.0,,0.0,153
0.0,1.0,0.0,0.0,1.0,,0.0,153
6.0,1.0,0.0,0.0,1.0,,0.0,153
2.0,1.0,0.0,0.0,1.0,,0.0,154
1.0,1.0,1.0,13.3,1.0,1.0,10.0,154
7.0,1.0,0.0,0.0,1.0,,0.0,154
4.0,0.0,0.0,0.0,,,0.0,155
9.0,0.0,0.0,0.0,,,0.0,155
1.0,1.0,0.0,4.2299999999999995,1.0,,0.0,155
3.0,0.0,0.0,0.0,,,0.0,155
8.0,1.0,0.0,1.01,1.0,,0.0,155
6.0,1.0,0.0,0.0,1.0,,0.0,155
4.0,0.0,0.0,0.0,,,0.0,156
5.0,1.0,1.0,14.56,1.0,1.0,6.0,156
9.0,0.0,0.0,0.0,,,0.0,156
3.0,1.0,0.0,9.58,1.0,,0.0,156
5.0,1.0,1.0,9.45,1.0,1.0,3.0,158
9.0,1.0,0.0,9.88,1.0,,0.0,158
2.0,1.0,0.0,0.0,1.0,,0.0,158
1.0,1.0,0.0,0.0,1.0,,0.0,158
7.0,1.0,0.0,0.0,1.0,,0.0,158
4.0,0.0,0.0,0.0,,,0.0,159
5.0,1.0,0.0,1.43,1.0,,0.0,159
7.0,1.0,0.0,3.97,1.0,,0.0,159
3.0,0.0,1.0,0.0,,0.0,5.0,160
0.0,1.0,1.0,27.55,1.0,1.0,20.0,160
5.0,1.0,1.0,17.59,1.0,1.0,3.0,161
9.0,0.0,1.0,0.0,,0.0,2.0,161
1.0,1.0,0.0,0.0,1.0,,0.0,161
0.0,1.0,1.0,14.47,1.0,1.0,10.0,161
6.0,1.0,1.0,22.87,1.0,1.0,4.0,161
2.0,0.0,0.0,0.0,,,0.0,162
1.0,1.0,1.0,20.76,1.0,1.0,10.0,162
3.0,0.0,1.0,0.0,,0.0,5.0,162
8.0,1.0,0.0,0.0,1.0,,0.0,162
6.0,1.0,0.0,0.0,1.0,,0.0,162
4.0,1.0,0.0,0.0,1.0,,0.0,163
9.0,1.0,0.0,0.0,1.0,,0.0,163
7.0,1.0,0.0,12.02,1.0,,0.0,163
3.0,1.0,1.0,13.88,1.0,1.0,5.0,163
1.0,1.0,0.0,9.91,1.0,,0.0,164
7.0,1.0,0.0,0.0,1.0,,0.0,164
0.0,1.0,0.0,0.0,1.0,,0.0,164
8.0,1.0,0.0,1.58,1.0,,0.0,164
6.0,1.0,0.0,5.47,1.0,,0.0,164
5.0,1.0,1.0,19.1,1.0,1.0,6.0,653
2.0,0.0,0.0,0.0,,,0.0,653
7.0,0.0,0.0,0.0,,,0.0,653
3.0,0.0,1.0,0.0,,0.0,5.0,653
0.0,1.0,0.0,26.18,1.0,,0.0,653
3.0,0.0,1.0,0.0,,0.0,5.0,166
0.0,1.0,0.0,39.14,1.0,,0.0,166
8.0,1.0,1.0,11.99,1.0,1.0,5.0,166
6.0,1.0,1.0,12.510000000000002,1.0,1.0,2.0,166
4.0,0.0,1.0,0.0,,0.0,5.0,168
5.0,1.0,1.0,0.0,1.0,0.0,3.0,168
2.0,1.0,0.0,24.41,1.0,,0.0,168
7.0,1.0,0.0,0.0,1.0,,0.0,168
3.0,0.0,1.0,0.0,,0.0,5.0,168
4.0,0.0,1.0,0.0,,0.0,5.0,170
7.0,1.0,0.0,25.53,1.0,,0.0,170
3.0,1.0,1.0,17.12,1.0,1.0,5.0,170
0.0,1.0,1.0,0.0,1.0,0.0,10.0,170
6.0,1.0,1.0,13.94,1.0,1.0,2.0,170
4.0,1.0,1.0,36.93,1.0,1.0,5.0,171
8.0,1.0,1.0,23.83,1.0,1.0,10.0,171
6.0,1.0,1.0,41.29,1.0,1.0,4.0,171
4.0,0.0,0.0,0.0,,,0.0,173
9.0,1.0,1.0,11.780000000000001,1.0,1.0,2.0,173
1.0,1.0,0.0,16.89,1.0,,0.0,173
0.0,1.0,0.0,11.11,1.0,,0.0,173
4.0,1.0,1.0,21.36,1.0,1.0,5.0,174
9.0,1.0,1.0,10.79,1.0,1.0,2.0,174
7.0,1.0,0.0,0.0,1.0,,0.0,174
3.0,1.0,1.0,33.9,1.0,1.0,5.0,174
